title,date,
Russian crude oil exports down while Libya could start recovering,2020-06-07,
Asia naphtha prices touch threemonth high on crude oil rally,2020-06-08,
The Oil price is under special surveillance Il Bo Live UniPD,2020-06-08,
Crude oil prices could hit 50 per barrel or higher by years end analysts say,2020-06-08,
US crude oil stocks rise against market expectation,2020-06-10,
Crude and water part II,2020-06-11,
Why crude oil trains keep derailing and exploding in Canada even after the LacMgantic disaster,2020-06-12,
Oil Prices for June 16 2020 Brent Crude WTI,2020-06-15,
Energy production in May of 2020,2020-06-15,
How negative oil prices revealed the dangers of the futures market,2020-06-16,
For How Long Can China Prop Up The Oil Market,2020-06-16,
Natural attenuation of spilled crude oil by coldadapted soil bacterial communities at a decommissioned High Arctic oil ,2020-06-18,
Crude Oil Closes High Production Drop in The US and Opec Cuts are in Focus,2020-06-20,
Motor gasoline accounted for almost half of US petroleum consumption in 2019 US Energy Information Administration,2020-06-21,
Feature Australias diverse crude quality shields its oil export earnings from volatile Asian cracks,2020-06-22,
Oil pricing agencies Platts Argus launch new US crude benchmarks,2020-06-24,
Crude Oil Prices for WTI Brent on Friday June 26 2020,2020-06-25,
US refinery capacity sets new record as of January 1 2020 US Energy Information Administration,2020-06-25,
US commercial crude oil inventories reach alltime high US Energy Information Administration,2020-06-26,
Crude oil contains fullerenes,2020-06-29,
Shell takes 22bn hit over low oil prices,2020-06-29,
Experimental investigation of a novel multifunctional chemical solution on preventing asphaltene precipitation using ,2020-06-30,
Jordan says Iraq suspends daily crude oil shipments,2020-07-01,
China Is About to Run Out of Places to Store Crude Oil,2020-07-03,
Surface properties of cellulose nanocrystal stabilized crude oil emulsions and their effect on petroleum biodegradation,2020-07-03,
CA Refineries Are Driving Our Addiction to Oil Imports,2020-07-05,
Oil dips as US inventory build stokes supply fears,2020-07-06,
Oil Prices for July 8 2020 Brent Crude WTI,2020-07-07,
Belarus and Russian Oil All Is Not as It Seems,2020-07-07,
US EIA boosts crude price outlook for H2 2020 by 4b on rising demand OPEC cuts,2020-07-07,
Strategy flows toward natural gas,2020-07-07,
Oil prices down with surprise rise in US crude stocks,2020-07-09,
Libya HaftarLNA says blockade on oil will continue,2020-07-09,
The Most Desirable Crude Oil On The Market,2020-07-12,
OPEC share of global crude output falls to 39 in 2019,2020-07-12,
FOTW 1142 July 13 2020 Refineries in the Americas Produce a Greater Share of Gasoline per Barrel of Crude Oil ,2020-07-13,
US crude oil and natural gas production in April had biggest monthly decreases in years US Energy Information ,2020-07-13,
First shipment of Alberta oil arrives in Saint John after journey through Panama Canal,2020-07-14,
Refineries in the Americas produce a greater share of gasoline per barrel of crude oil than refineries in other world ,2020-07-14,
OPEC agrees to ease oil output cut to 77 mbpd in Aug,2020-07-14,
ChemChina receives Chinas first ever Russian arctic Novy Port crude cargo,2020-07-15,
Canadaoil production drops to its lowest level since 2016 wildfires US Energy Information Administration,2020-07-15,
Membrane Technology Could Cut Emissions and Energy Use in Oil Refining News Center,2020-07-16,
Major California Oil Producer Falls Victim to Collapse in Crude Prices Amid Pandemic,2020-07-16,
Canadas oil production drops to its lowest level since 2016 wildfires US Energy Information Administration,2020-07-16,
New membrane could cut emissions and energy use in oil refining Imperial News,2020-07-16,
Crude Oil Tanker Quarantined in Spain With Outbreak of COVID19,2020-07-17,
Energy production in June of 2020,2020-07-17,
India to store crude oil in US Mint,2020-07-17,
Emissions of volatile organic compounds from crude oil processing Global emission inventory and environmental ,2020-07-19,
Closing prices for crude oil gold and other commodities,2020-07-20,
Bulls need to break 4150 resistance zone crude oil price analysis,2020-07-20,
Hydrocarbon gas liquids spot prices are generally bound by crude oil and natural gas US Energy Information ,2020-07-21,
Asia naphtha prices edge up with crude oil market sentiment choppy,2020-07-22,
Crude oil exports by rail plunge as economic slump frees pipeline space,2020-07-22,
Chinas oil port congestion to stretch on as record imports strain facilities,2020-07-23,
Pakistans oil demand feels COVID19 pain set to bounce back,2020-07-23,
Crude oil prices turn negative on USChina tensions corona cases,2020-07-24,
The Influence of Test Parameters on CrudeOil Yield Stress,2020-07-24,
Early 2020 drop in crude oil prices led to writedowns of US oil producers assets,2020-07-26,
Can Oil Save Ecuadors Economy,2020-07-27,
Yemen Allow UN to Secure Oil Supertanker,2020-07-27,
BP fined 000 over crude oil spill off Shetland,2020-07-27,
BP fined 7000 over crude oil spill off Shetland,2020-07-28,
What are West Texas Intermediate crude oils price records,2020-07-28,
What Difference Does It Make How Crude Price Differentials Affect Producers,2020-07-28,
JAPAN DATA Crude imports hit 54year low on pandemic nonMideast oil squeezed out,2020-07-29,
An experimental evaluation of low salinity water mechanisms in a typical Brazilian sandstone and light crude oil with ,2020-07-31,
Littleknown US firm secures deal for Syrian oil,2020-08-01,
Crude oil prices fall due to fresh wave of COVID19 caseloads,2020-08-03,
US crude oil production in May has a record monthly decrease US Energy Information Administration,2020-08-04,
Spotlight Urals is weakening with more production and alternative crudes pricing to compete in Europe,2020-08-04,
Money Stuff Some People Made Money on Negative Oil Prices,2020-08-04,
Norwegian crude oil exports set to decline in September,2020-08-04,
US Firm Secures Oil Deal with USBacked Forces in Syria,2020-08-06,
Why scientists intentionally spilled oil into a Canadian lake,2020-08-06,
The Peaking of Storage,2020-08-06,
Sea Life Suffers as Mauritius Oil Spill Spreads,2020-08-10,
Brent oil price up with estimated US crude stocks drop,2020-08-11,
Flow accelerated naphthenic acid corrosion during high acid crude oil refining,2020-08-12,
Iran Central Bank Governor Defends Decision To Presell Crude Oil In Stock Market,2020-08-12,
Phillips 66 Transforming Refinery from Crude Oil to Renewable Fuels,2020-08-13,
Recovery started for Japanese crude oil imports,2020-08-13,
Oil prices flat with 004 rise in week ending August 14,2020-08-13,
What Is Heavy Fuel Oil And Why Is It So Controversial Five Killer Facts,2020-08-14,
Currency appreciation makes crude oil less expensive for some oil importers US Energy Information Administration,2020-08-14,
Iran will presell crude oil to its own citizens to fight back against US sanctions,2020-08-14,
New amphiphilic pyridinium ionic liquids for demulsification of water Arabic heavy crude oil emulsions,2020-08-15,
Nanoparticlestabilized microemulsions for enhanced oil recovery from heterogeneous rocks,2020-08-15,
Energy production in July of 2020,2020-08-15,
Russia exporting less crude oil to Europe but probably not for long,2020-08-17,
Never Say Goodbye Western Canadian Crude Oil Production Embarks on the Road to Recovery,2020-08-18,
Walz Administration Keeps Up Fight Against Line 3 Crude Oil Pipeline,2020-08-18,
Explaining How Oil Prices are Connected to Currencies,2020-08-18,
New waves in freight part II shifting oil product flows call for new UKCWAF tanker benchmark,2020-08-19,
North Dakota crude oil production fell in May beyond natural declines US Energy Information Administration,2020-08-19,
Indias crude imports fall to lowest in over a decade in July,2020-08-20,
Crude oil prices rise as storms zero in on Gulf of Mexico report,2020-08-21,
Brazil Exports 15 million bd of Crude Oil so far in August,2020-08-24,
Crude Oil Price Bulls Eye Resistance as VIX FearGauge Falls,2020-08-24,
Commodity outlook Crude oil falls heres how others may fare,2020-08-25,
Cold damage from wax deposition in a shallow lowtemperature and highwax reservoir in Changchunling Oilfield ,2020-08-26,
Alberta oil shipped through Panama Canal to Atlantic Canada to avert COVID19 threat to energy supply,2020-08-26,
Changing demand for petroleum products has led to operational changes at US refineries US Energy Information ,2020-08-27,
Biodegradation of nalkanes in crude oil by three identified bacterial strains,2020-08-28,
Ive Got to Have You Part 2 The Crude Oil and LPG Supply Roles of Enbridges Line 5,2020-09-01,
Selfcleaning of very heavily oilpolluted sites proceeds even under heavymetal stress while involved bacteria exhibit ,2020-09-01,
Unilever to remove oilbased ingredients from cleaning products,2020-09-01,
Do green investments react to oil price shocks Implications for sustainable development,2020-09-01,
The Underwater Behavior of Oil and Gas Jets and Plumes,2020-09-01,
Mars crude on pace to average premium to WTI MEH,2020-09-01,
Jadestone switches to tankers for Stag crude offtake,2020-09-02,
Crude Oil Could Sell Off Into Mid20s,2020-09-03,
Oil tanker towed from Sri Lanka shoreline amid spill fears,2020-09-04,
Remediation of crude oilcontaminated coastal marsh soil Integrated effect of biochar rhamnolipid biosurfactant and ,2020-09-04,
Commodity Outlook Crude oil slips heres how others may fare,2020-09-05,
Asia naphtha prices tumble 5 on losses in crude oil futures,2020-09-07,
Mechanically robust polybenzoxazinereduced graphene oxide wrappedcellulose sponge towards highly efficient oil ,2020-09-07,
I Want to Break Free The Upcoming Release of Crude Oil from the Strategic Petroleum Reserve,2020-09-08,
Phase behavior study on gas hydrates formation in gas dominant multiphase pipelines with crude oil and high CO2 ,2020-09-08,
Novel membrane for crude oil fractionation News,2020-09-08,
The US continued to produce more light crude oil in 2019 and import less heavy crude oil US Energy Information ,2020-09-08,
Crude Oil ETFs Rebound But Analysts Say Oil Still Bearish,2020-09-09,
Sri Lanka says crude oil tanks on board burning oil tanker remain unharmed Xinhua Englishnewscn,2020-09-09,
With a New Pipeline in East Africa an Oil Company Flouts Frances Leadership on Climate,2020-09-10,
Why We Shut Down Four Oil Refineries NNPC,2020-09-10,
The US continued to produce more light crude oil in 2019 and import less heavy crude oil,2020-09-10,
Brent crude oil dive below 40 per barrel Shafaq News,2020-09-10,
Combustion characteristics of crude oils for gas turbine applications by DCN measurements and NMR spectroscopy,2020-09-11,
Uganda Tanzania sign agreement for construction of crude oil pipeline African Mining Market,2020-09-12,
At last some hope for VLCCs,2020-09-13,
Tanzania Uganda leaders agree to fasttrack crude oil pipeline project Xinhua Englishnewscn,2020-09-14,
OPEC at 60 A cartel on life support,2020-09-14,
Falling crude oil demand puts older tankers at risk,2020-09-14,
Ecoefficient rheological improvement of heavy crude oil using lactam based ionic liquids at high temperature high ,2020-09-14,
Oil recovery mechanisms of Pickering nanoemulsions stabilized by surfactantpolymernanoparticle assemblies A ,2020-09-15,
Interfacial interactions between Bakken crude oil and injected gases at reservoir temperature A molecular dynamics ,2020-09-15,
In Peru selfreporting of oil spills by companies leaves an unknown toll,2020-09-15,
Why China Is Suddenly Buying Record Amounts Of American Crude Oil,2020-09-18,
India bought crude oil at 19 a barrel to fill its strategic reserves Mint,2020-09-20,
The Worlds Most Expensive Crudes Sell At RecordBreaking Premiums,2020-09-21,
US crude oil exports have fallen in each month since their record high in February US Energy Information ,2020-09-21,
Egypt announces recordhigh crude oil production for first time in decades,2020-09-22,
Domestic crude oil production down 63 in August natural gas output dropps 95,2020-09-22,
NRL to soon set up its crude oil import terminal at Paradip Port,2020-09-23,
This Is How Oil Prices Can Crash Below 0 Yes Really,2020-09-23,
Crude Oil Crashes to 13Month Low Amid Devastating Supply Shock,2020-09-23,
US crude oil exports have fallen in each month since their record high in February,2020-09-23,
Crude Oil Price Update Volume Will Determine Whether to Trade the Range or Play for Breakout,2020-09-23,
CME Group Brings Export Quality Crude Oil to the Water via WTI Houston HCL Futures,2020-09-24,
Energy Transition Total Is Investing More Than 500 Million To Convert Its Grandpuits Refinery Into a ZeroCrude ,2020-09-24,
Crude Oil Prices Swing Lower on Demand Concerns Strong USD,2020-09-24,
Govt may consider halving cess on domestic crude,2020-09-24,
Did The US Become The Worlds Top Oil Producer Under President Trump,2020-09-29,
Oil Prices for Oct 01 2020 Brent Crude WTI,2020-09-29,
The impact of coronavirus COVID19 and the global oil price shock on the fiscal position of oilexporting developing ,2020-09-30,
BP sacks crude oil staff amid probe into China dealings,2020-09-30,
Dekun Energy opens crude oil storage warehouse,2020-09-30,
Hurricane Laura shut in more Gulf of Mexico crude oil production than any storm since 2008 US Energy Information ,2020-10-01,
Venezuelas Crude Oil Industry May Never Recover,2020-10-02,
70 Of Lost US Oil Jobs May Not Return Anytime Soon,2020-10-03,
House of Pain Once Again Bakken Crude Oil Producers Were Hit Especially Hard by Sagging Prices,2020-10-05,
Crude Oil Technical Outlook Oil Price Struggling Below 50DMA,2020-10-06,
South Sudans oil firm plans to build 500 mln USD oil refinery Xinhua Englishnewscn,2020-10-08,
Regulator says 91 of US Gulf crude oil production remains shut after hurricane,2020-10-08,
Global liquid fuels production outages have increased in 2020 US Energy Information Administration,2020-10-12,
Saudi Aramco and SABIC reassess crudeoiltochemicals project,2020-10-13,
Oil Spill Ecuador,2020-10-18,
Energy production in September of 2020,2020-10-20,
Comin to America Major Changes in Crude Oil Imports as Refineries Needs Shift,2020-10-20,
UAE and Israel open talks on oncesecret crude oil pipeline,2020-10-20,
Nigerian crude oil exports to approach 17 million bd in late 2020,2020-10-21,
Analysis Malaysian crude sales under threat as Australian refineries fight to survive,2020-10-23,
PM Modi calls for responsible pricing of crude oil create transparency,2020-10-23,
How a catalyst converts methane from crude oil production into ethene,2020-10-26,
The oil market outlook Lasting scars from the pandemic,2020-10-27,
Crude oil tanker rates are likely to remain low until global petroleum demand increases US Energy Information ,2020-10-27,
More reforms in offing to raise private participation in oil gas fields says Oil Secy,2020-10-28,
Oil Prices for Oct 30 2020 Brent Crude WTI,2020-10-28,
Biggest oil and gas companies Top ten by revenue,2020-10-29,
Update on Crude Oil Spill from EAPCs TransIsrael Pipeline,2020-10-30,
Fresh Concerns in Nigeria as Crude Oil Price Slumps below 40,2020-10-30,
Techniques for treating slop oil in oil and gas industry A short review,2020-10-30,
Light Sweet Crude Oil Is Taking Over The Market,2020-11-01,
OPEC members net oil export revenue in 2020 expected to drop to lowest level since 2002 US Energy Information ,2020-11-03,
Oil rises 4 after Trump falsely claims victory in tight US election,2020-11-03,
What you need to know about new US crude oil price benchmarks,2020-11-04,
Experimental investigation on phase inversion point and flow characteristics of heavy crude oilwater flow,2020-11-04,
Crude Oil Price Forecast Crude Oil Markets Fall Again,2020-11-05,
China private refiner Hongrun to expand mega crude oil tank farm,2020-11-06,
EnQuest positioning for Kraken sequel green investment CEO,2020-11-08,
Oil Prices for Nov 10 2020 Brent Crude WTI,2020-11-09,
Crude impact cleaning up the ravages of war in Iraq,2020-11-09,
India can save Rs 1 lakh crore on crude oil imports by meeting 30 EV penetration target Study,2020-11-09,
What is Crude Oil A Traders Primer to Oil Trading,2020-11-10,
The African oil markets of China and the continuous daily needs for crude oil,2020-11-10,
Commodity strategies Gold silver crude base metals,2020-11-11,
Ecuadors Vast Oil Wealth May Never Be Tapped,2020-11-13,
Energy production in October of 2020,2020-11-16,
Sign o the Times A Tough Year for Crude Oil Slows Pipeline Development to a Crawl,2020-11-17,
Samir Kopacic From crude oil to bioplastics,2020-11-17,
EIA expects US crude oil production to remain relatively flat through 2021,2020-11-18,
Crude Oil Price Forecast Crude Oil Continues to Face Same Problems,2020-11-18,
Crude Oil Price Update Trader Reaction to 4183 ShortTerm Pivot Sets the Tone,2020-11-18,
Spatiotemporal analysis of oil lake and oilpolluted surfaces from remote sensing data in one of the Libyan oil fields ,2020-11-19,
Global crude market finds support mainly from China demand,2020-11-19,
Oil Prices for Nov 20 2020 Brent Crude WTI,2020-11-19,
Researchers develop more efficient method to recover heavy oil,2020-11-19,
Indian Coast Guard Tows Drifting Crude Oil Tanker to Safety,2020-11-21,
22 billion barrels of crude oil discovered in Abu Dhabi,2020-11-23,
Thailands crude imports jump in Oct as refiners replenish lightend product stocks,2020-11-23,
Oil Prices for Nov 25 2020 Brent Crude WTI,2020-11-24,
Indias October crude oil imports mark biggest fall since July,2020-11-24,
Crude Oil ETFs Gain Amid Inventory Report Vaccine Optimism,2020-11-24,
Quantitative analysis of PAH compounds in DWH crude oil and their effects on Caenorhabditis elegans germ cell ,2020-11-25,
Red Sea Explosion Damages Crude Oil Tanker Off Saudi Arabias Coast,2020-11-25,
Crude price rally to benefit Indian equities in the near term,2020-11-25,
WTI crude oil analysis for December 2020 is the market setting up to break out or retreat,2020-11-26,
China is Stockpiling Crude Oil as Covid19 Makes Oil Cheap,2020-11-27,
Methodology for Exports of Energy Products within the International Merchandise Trade Program,2020-11-27,
A new forecasting model with wrapperbased feature selection approach using multiobjective optimization technique ,2020-11-30,
Investigation of Bacillus licheniformis in the biodegradation of Iranian heavy crude oil A twostage sequential approach ,2020-12-01,
Press Information Bureau,2020-12-01,
Riviera News Content Hub OSVsized transfer vessel simplifies crude oil transfer,2020-12-02,
Kuwaitis KPC signs deal to store 314 mln barrels of crude oil in Japan,2020-12-02,
SPECIAL REPORT Inside Niger Delta creeks where the youth are raking in millions through crude oil theft,2020-12-02,
Bank of China fined for violating regulations on crude oil treasure product,2020-12-03,
Regulator fines Bank of China over lossmaking product linked to crude oil,2020-12-05,
Saudi Aramco raises January crude oil price for Asia document shows,2020-12-05,
Crude Oil Treasure Debacle Leads to Fine for Chinese Bank,2020-12-06,
Crude Oil Prices Hit Highest Price Point in Nine Months,2020-12-07,
RBN Cushing Crude Oil Playbook,2020-12-07,
The Heart of the Matter Everything You Need to Know About the Cushing Oil Hub,2020-12-08,
Negative Oil When Prices Went Below Zero These Essex Traders Made Millions,2020-12-08,
Chinese crude oil imports are falling,2020-12-09,
Oil Gas shares in focus ONGC Oil India Gail rally up to 10,2020-12-09,
Rising inflation crude oil are a new worry for financial markets Analysts,2020-12-11,
Crude Oil Price Update Trader Reaction to Major Fibonacci Support at 4604 Sets the Tone into Close,2020-12-11,
Comin to America Part 4 Gulf Coast Refineries Slashing Their Need for Imported Crude Oil,2020-12-14,
Stability and cracking threshold depth of crude oil in 8000 m ultradeep reservoir in the Tarim Basin,2020-12-15,
Uganda refinery too costly likely to lower value of regional pipeline CPI,2020-12-15,
US Crude Oil Inventory Declines Weekly Demand Increases But Remains Modest EIA Says,2020-12-16,
The Crude Oil and Canadian Dollar correlation USDCAD WTI,2020-12-17,
Custer Crude Oil Derailment 2020 Washington State Department of Ecology,2020-12-17,
Indias crude oil production slips 5 pc in November,2020-12-22,
Oklahomas Blueknight Rakes in 162 Million for Crude Oil Midstream Assets,2020-12-22,
Crude Oil Refinery Operator fined 475000 for Environmental Protection Act Violations,2020-12-22,
Monjasa deploys crude tanker as floating storage off West Africa,2020-12-22,
Is carrying crude oil by rail worth the risk This expert says no,2020-12-23,
The Very Real Possibility Of Peak Oil Supply,2020-12-23,
PDF CRUDE OILPRODUCT SWAP OIL FOR PRODUCTS AGREEMENT OPA VS DIRECT SALES DIRECT ,2020-12-26,
Drewry Crude Oil Tanker Market in for Long Painful Recovery,2020-12-26,
A historic oil price collapse with worries headed into 2021,2020-12-28,
EIAWeekly Petroleum Status Report provides crude oil and refined products balances US Energy Information ,2020-12-28,
Cambodia starts first crude oil production,2020-12-28,
Special Report UAE emerges as hub for companies helping Venezuela avoid US oil sanctions,2020-12-29,
Trafigura acquires 10 percent of Vostok Oil,2020-12-30,
Indias crude oil production tapers delaying cut in import dependence,2020-12-30,
Oil Prices Settle Higher on Final Day of 2020,2020-12-31,
US crude oil inventories fall for week ending Dec 25,2020-12-31,
Effects of zwitterionic surfactant adsorption on the component distribution in the crude oil droplet A molecular ,2020-12-31,
An InDepth Look at How Crude Oil is Moved Around the World,2021-01-01,
Commodities 2021 US crude oil exports face challenges amid lower output,2021-01-04,
Crude oil prices briefly traded below 0 in spring 2020 but have since been mostly flat US Energy Information ,2021-01-04,
The asymmetric effect of crude oil prices on stock prices in major international financial markets,2021-01-05,
Crude Oil Above 50 for the First Time in 10 Months,2021-01-05,
Crude Oil Flow From Saudi Arabia To US Falls To Zero,2021-01-06,
An innovative method for the quantification of small amounts of crude oil in water using a multiwavelength separation ,2021-01-06,
One year into his reign Omans sultan must renegotiate the social contract and prioritize diversification Brookings,2021-01-10,
Chinas 2020 crude oil imports hit record on stockpiling new refineries,2021-01-13,
BIMCO Zero Tonnes of Saudi Crude Oil Imported by the US,2021-01-14,
Chinas 2020 total crude oil imports jump 73 to record on low prices,2021-01-14,
Effects of dispersant treated oil upon exploratory behaviour in juvenile European sea bass Dicentrarchus labrax,2021-01-14,
US Strategic Petroleum Reserve to start unloading crude barrels as soon as April,2021-01-15,
NiFe2O4 nanocatalyst for heavy crude oil upgrading in low hydrogenfeedstock ratio,2021-01-15,
Combined microbial degradation of crude oil under alkaline conditions by Acinetobacter baumannii and Talaromyces sp,2021-01-15,
Oil caught up in early commodity supercycle fervor,2021-01-17,
Levitating Western Canadas Crude Oil Supplies to Reach Record Highs in 2021,2021-01-18,
Energy production in December 2020,2021-01-18,
Synthesis and characterization of tannic acid esters and their performances as asphaltenes dispersants,2021-01-19,
Crude oil production falls 36 natural gas shrinks 71 in December,2021-01-19,
Buyers reject several Libyan crude cargoes due to high mercury content sources,2021-01-20,
EIA expects crude oil prices to average near 50 per barrel through 2022 US Energy Information Administration,2021-01-21,
Magellan Enterprise to develop Houston crude oil futures contract,2021-01-21,
Crude oil prices to average near 50 per barrel through 2022 says US EIA,2021-01-21,
In 2019 oil and lease condensate proved reserves were flat natural gas reserves declined US Energy Information ,2021-01-22,
Crude oil shipments boost Port of Corpus Christi to 2020 tonnage record,2021-01-22,
Factors That Influence Pricing Of Oil And Gas,2021-01-22,
Millions of barrels of sanctioned Venezuelan crude finding their way to China,2021-01-25,
Methanogenic crude oil degradation induced by an exogenous microbial community and nutrient injections,2021-01-25,
New approach to unsupported ReS2 nanorod catalyst for upgrading of heavy crude oil using methane as hydrogen ,2021-01-26,
Oil refiners on the margin amid rising crude prices muted demand,2021-01-27,
US crude oil inventories fall for week ending Jan 22,2021-01-27,
On crude oil hightech plastics and healthcare,2021-01-28,
Continuous monitoring of crude oil movement in an electromagneticassisted enhanced oil recovery process using a ,2021-01-29,
Rising Crude Oil Prices are Driving Away Savings at the Pump,2021-02-01,
Oil Prices for Feb 02 2021 Brent Crude WTI,2021-02-01,
Characterization occurrence and natural attenuation of spilled light synthetic crude oil in a boreal freshwater ecosystem,2021-02-01,
A review on novel applications of asphaltenes A valuable waste,2021-02-01,
Comparison of plant growth and remediation potential of pyrochar and thermal desorption for crude oilcontaminated ,2021-02-01,
Canadian oil sands diluent demand A 750000 bd market,2021-02-02,
Acetoin modulates conformational change of surfactin Interfacial assembly and crude oilwashing performance,2021-02-03,
US crude output to keep rising but gasoline demand is past its peak EIA,2021-02-03,
EIAs AEO2021 Reference case shows crude oil production plateauing after 2030 US Energy Information ,2021-02-03,
Photothermal and Joule heatingassisted thermal management sponge for efficient cleanup of highly viscous crude oil,2021-02-04,
Quest to reduce upstream oil emissions has significant market implications,2021-02-05,
EU Crude Oil Imports Took a Dive in 2020 As the Pandemic Raged,2021-02-05,
Crude Oil to Chemicals Complexes and now Gas to Chemicals Complexes Life is sure getting complex,2021-02-06,
US sells a million barrels of Iranian oil seized under sanctions,2021-02-09,
Oil Market Report February 2021 Analysis IEA,2021-02-10,
Australias Vincent crude premiums hit record high amid strong LSFO demand,2021-02-11,
Uinta Basin oil shipments may get boost from proposed rail line,2021-02-11,
24000 litres of stolen crude oil recovered man arrested,2021-02-11,
Watch These Crude Oil Levels,2021-02-11,
Why Indians are paying a bomb for fuel despite cheap crude prices,2021-02-17,
Fact check Oil prices havent doubled during Biden presidency,2021-02-17,
Petrol at Rs 100 Can India reduce its dependency on imported crude oil,2021-02-18,
Oil prices dip after surpassing 65 a barrel amid Texas cold snap,2021-02-18,
Texass big freeze pushes oil prices to 13month highs,2021-02-18,
Crude oil prices drop as cold weather impacts US refineries,2021-02-18,
Crude oil affecting growth of plants castor Ricinus communis and bean Vicia faba and some soil properties,2021-02-19,
Crude Oil Trading Strategies and Tips,2021-02-21,
Why oil prices will stay high despite global shift to green energy,2021-02-24,
Weekly Oil And Gas Update Winter Storm Helps Boost Texas Oil To More Than 60 Per Barrel,2021-02-24,
Existence of long memory in crude oil and petroleum products Generalised Hurst exponent approach,2021-02-24,
Untangling mechanisms of crude oil toxicity Linking gene expression morphology and PAHs at two developmental ,2021-02-25,
Severe cold spells bolster Japans heating oil power fuel demand in Jan,2021-02-25,
Average Dubai crude oil price rises to 13month high in Feb Sources,2021-02-26,
Leaders of the Pack Three Gulf Coast Crude Oil Export Terminals Winning Battle for Barrels,2021-03-01,
Asia Remains Key Destination for US Crude Exports,2021-03-02,
Near Byhalia pipeline planned connection point Valero leaked 800 gallons of crude oil in 2020,2021-03-02,
30 years later echoes of largest inland oil spill remain in Line 3 fight,2021-03-02,
Oil prices What factors influence the value of oil,2021-03-03,
New Details Provide More Evidence that Iran was Source of Crude Oil Spill in Mediterranean,2021-03-03,
Prediction of live reservoir fluid interfacial tension from dead oil measurements,2021-03-04,
Bioelectrokinetic remediation of crude oil contaminated soil enhanced by bacterial biosurfactant,2021-03-04,
Key oil price surges above 70 after attack on Saudi facilities,2021-03-05,
Price of Brent crude oil rises above 70,2021-03-08,
Valero crude oil leak heightens concerns over proposed pipeline,2021-03-08,
How Oil Could Go To 100 Per Barrel,2021-03-08,
US crude oil production fell by 8 in 2020 the largest annual decrease on record US Energy Information ,2021-03-09,
Crude oil price surge pushes up prices of edible oils and spices in a fortnight,2021-03-09,
US EIA US crude oil production fell by 8 in 2020 the largest annual decrease on record,2021-03-10,
Iran slips record volume of oil into China reaches out to Asian clients for trade resumption,2021-03-10,
Crude oil coming out of ground in few villages in Meghalaya Congress MLA,2021-03-10,
Nanoengineered sponge could soak up oil spills in cold Arctic waters,2021-03-10,
Oil prices continue to fall ahead of US inventories data,2021-03-10,
CNPC Sells Crude Oil in Chinas First Online Auction,2021-03-10,
Demolition of crude oil tankers All talk and little walk,2021-03-11,
Demulsification of crude oilwater nanoemulsions stabilized by rhamnolipid biosurfactant using enzymes and pHswing,2021-03-12,
Investigation of physical parameters of crude oils and their impact on kinematic viscosity of vacuum residue and heavy ,2021-03-15,
Energy production from January to February 2021,2021-03-16,
EIA expects crude oil prices to rise through April because of lower OPEC production US Energy Information ,2021-03-16,
Is crude oil entering a new supercycle Dont count on it,2021-03-17,
Crude Oil Price Forecast Crude Oil Markets Sluggish,2021-03-17,
Is crude oil entering a new supercycle Doncount on it,2021-03-17,
The impact of world oils price on consumer price indicator,2021-03-17,
Post falsely claims price of oil was 25 a barrel when Trump left office,2021-03-18,
Port Harcourt Refinery Nigeria dead oil refinery goment approve billions 15bn to repair,2021-03-18,
Oil why higher prices will complicate the energy transition,2021-03-18,
Libyas National Oil Corporation remains challenged,2021-03-19,
MARIC wins AiP from RINA for dualfuel crude oil tanker,2021-03-19,
Saudi Arabia Boosted Crude Oil Exports In January,2021-03-19,
Effects of crude oil contamination on geotechnical properties of sandkaolinite mixtures,2021-03-19,
Changes in Oil Markets and New Technology The Effects of COVID19 and Climate Change,2021-03-20,
US LNG exports in EIAs AEO2021 side cases vary with crude oil natural gas prices US Energy Information ,2021-03-21,
US LNG exports in EIAAEO2021 side cases vary with crude oil natural gas prices US Energy Information ,2021-03-22,
Vietnams Dung Quat to test Indonesian Minas crude in hunt for new feedstocks,2021-03-22,
Oil gains more than 3bbl after Suez Canal ship grounding,2021-03-22,
Suez canal blockage sends oil prices rebounding after selloff,2021-03-23,
Factbox What does the Suez Canal blockage mean for oil shipments,2021-03-24,
Suez Canal blockage leaves at least US400 million of crude oil stranded,2021-03-25,
Oil trade braces for long delays as Suez Canal closure likely to last days,2021-03-25,
Suez Canal ship accident delays crude products arbitrage flows sources,2021-03-25,
What a Long Suez Canal Closure Means for the Oil Price,2021-03-25,
For most of 2020 Chinas refineries processed more crude oil than US refineries US Energy Information ,2021-03-25,
Feature ADNOC Fujairah bet on each others growth with Murban crude futures launch,2021-03-25,
Reliance IndustriesSaudi Aramco deal likely if crude oil averages 65,2021-03-25,
Crude oil futures rise on Suez Canal blockage market mulls OPEC meeting,2021-03-26,
South Korea expects delay in CPC Blend crude arrivals amid Suez Canal congestion,2021-03-26,
Shanghais crude oil benchmark helps companies fight against COVID19 impact,2021-03-26,
Factbox The Suez Canal a vital oil transit route with an ancient history,2021-03-26,
Fears of prolonged Suez Canal blockage drive oil prices higher,2021-03-26,
Explained Why Indias crude oil price could rise following blockage of Suez Canal,2021-03-26,
Oil jumps 4 on fears Suez Canal blockage may last weeks,2021-03-26,
Explained Why Indiacrude oil price could rise following blockage of Suez Canal,2021-03-26,
Big changes underway in Middle East crude oil market,2021-03-26,
